Tuition fees up to date;Gender;Scholarship holder;Age at enrollment;Curricular units 1st sem (enrolled);Curricular units 1st sem (approved);Curricular units 1st sem (grade);Curricular units 2nd sem (enrolled);Curricular units 2nd sem (approved);Curricular units 2nd sem (grade);Target
1;0;0;23;6;6;13;6;6;11,88;Graduate
1;0;0;19;6;6;14,86;6;6;13,33;Graduate
1;0;0;20;7;6;12,6;7;6;12,6;Graduate
1;0;0;22;6;5;13,33;6;4;11,4;Enrolled
1;0;0;18;7;6;10,67;7;6;12,83;Enrolled
0;0;0;27;5;2;11,5;5;1;11;Dropout
1;0;0;29;7;1;10;7;0;0;Dropout
1;0;0;18;6;5;11,8;6;5;12,2;Graduate
1;0;0;18;6;5;11,8;6;6;12,67;Graduate
1;0;0;18;8;8;12,77;8;8;12,77;Graduate
1;0;0;20;5;3;11,33;5;5;12,6;Enrolled
1;0;0;18;6;6;12,67;6;5;14,6;Graduate
0;0;0;18;6;5;12,2;6;4;10,83;Enrolled
0;0;0;28;5;1;12;4;0;0;Dropout
1;0;1;18;8;7;11,72;8;7;11,72;Graduate
1;0;0;27;7;4;14;7;3;12,53;Enrolled
1;0;0;26;7;7;14,75;7;5;13,8;Enrolled
1;0;0;18;6;6;12,67;6;6;13,67;Graduate
1;0;0;18;5;4;13;5;5;14;Dropout
1;0;0;21;5;0;0;5;0;0;Dropout
1;0;0;18;6;4;10,75;6;0;0;Enrolled
0;0;0;32;5;0;0;5;0;0;Dropout
1;0;0;28;5;4;12,5;5;4;11,75;Graduate
0;0;0;40;4;0;0;5;0;0;Dropout
0;0;0;39;5;0;0;4;0;0;Dropout
0;0;0;39;6;0;0;6;0;0;Dropout
1;0;0;50;6;6;12,5;6;5;12,4;Graduate
1;0;0;23;6;5;12,8;6;3;11,67;Dropout
1;0;0;48;6;1;10;6;1;11;Dropout
1;0;0;23;6;4;11,25;6;5;10,2;Dropout
1;0;1;18;8;7;12,61;8;7;12,61;Graduate
1;0;0;18;5;2;12;5;5;12,6;Graduate
0;0;0;20;6;5;13;6;6;13,5;Graduate
1;0;1;18;5;4;12;5;5;13;Graduate
1;0;0;18;7;4;12;8;0;0;Dropout
1;1;0;31;5;1;12;5;1;11;Dropout
1;1;0;24;5;1;12;5;3;10,5;Enrolled
1;1;0;24;0;0;0;0;0;0;Graduate
0;1;0;26;5;0;0;5;0;0;Dropout
1;1;0;18;6;5;13,63;6;4;11,75;Dropout
1;1;1;19;5;3;11,67;5;3;11,67;Enrolled
1;1;0;22;6;0;0;6;0;0;Dropout
1;1;0;18;8;7;11,69;8;7;11,69;Graduate
0;1;0;20;6;0;0;6;0;0;Dropout
1;1;0;25;0;0;0;0;0;0;Graduate
1;1;0;24;5;4;11,5;5;5;11,29;Graduate
1;1;0;27;5;1;14;5;0;0;Dropout
1;1;0;21;6;5;11;6;5;12,4;Graduate
1;1;0;21;6;6;12,86;6;6;13,17;Graduate
1;1;0;19;6;4;12,5;6;6;11,33;Dropout
1;1;0;28;7;7;14,53;8;8;15,02;Graduate
1;1;0;20;5;5;10;5;2;12;Enrolled
1;1;1;21;6;6;13;6;6;12,63;Graduate
1;1;1;18;7;7;15,96;8;8;15,19;Graduate
1;1;1;18;5;5;13,2;5;5;12,6;Enrolled
1;1;0;20;5;4;10,2;5;3;11;Enrolled
1;1;0;25;5;5;14,2;5;2;13,5;Enrolled
1;1;0;22;6;6;12,63;6;2;14,5;Enrolled
1;1;0;18;8;6;13,5;8;6;13,5;Enrolled
1;1;0;19;5;5;13,25;5;5;11;Graduate
1;1;0;19;5;3;12;5;3;12;Dropout
0;1;0;25;6;4;13;6;4;13,75;Dropout
1;1;0;21;11;9;11,78;8;3;13,67;Dropout
1;1;0;19;5;2;11;6;0;0;Dropout
1;1;0;20;5;0;0;5;0;0;Dropout
1;1;0;25;14;14;12,43;9;6;10,86;Dropout
1;1;0;20;5;3;11;5;3;12;Enrolled
1;1;0;18;0;0;0;0;0;0;Graduate
1;1;0;23;6;3;11,5;6;3;10,67;Enrolled
1;1;0;23;8;8;12,51;8;8;12,51;Graduate
1;1;0;21;12;11;12,09;12;11;12;Graduate
1;1;0;20;5;2;11;5;3;12,67;Enrolled
1;1;0;25;5;1;10;5;2;11,33;Dropout
1;1;0;18;6;6;13,5;6;5;13,2;Graduate
1;1;0;22;6;6;14,17;6;6;13,63;Graduate
1;1;0;27;6;6;14;6;6;14,71;Graduate
1;1;0;25;3;0;0;3;0;0;Dropout
1;1;0;18;5;3;11,67;5;3;11,33;Dropout
1;1;0;20;5;5;14,6;5;5;14,2;Graduate
1;1;0;27;6;5;13;6;5;11,5;Graduate
1;1;0;20;6;6;12,17;6;6;12;Graduate
1;1;0;22;5;0;0;5;1;12;Dropout
1;1;0;19;5;3;10,5;5;3;10,8;Dropout
1;1;0;20;5;3;12,4;5;5;10,83;Enrolled
1;1;0;19;0;0;0;0;0;0;Graduate
0;1;0;29;5;0;0;5;0;0;Dropout
1;1;0;19;8;7;13,83;8;7;13,83;Graduate
1;0;1;28;5;5;10,6;5;5;10,2;Enrolled
1;0;0;20;6;6;11,5;6;6;11,67;Graduate
1;0;0;20;6;4;13,5;6;6;13,63;Graduate
1;0;0;31;6;0;0;6;0;0;Dropout
1;0;0;18;7;7;12,54;8;7;12,61;Graduate
1;0;0;19;6;6;14,83;6;6;13,29;Enrolled
1;0;0;18;5;4;12;5;4;12,8;Graduate
1;0;0;19;6;5;11,8;6;5;11,6;Graduate
1;0;1;18;5;5;15;5;5;15,2;Graduate
1;0;0;19;5;3;12;5;5;13,2;Graduate
1;0;1;18;6;6;12,83;6;6;12,29;Graduate
1;0;0;19;6;6;11,67;6;3;12;Graduate
1;0;0;19;7;7;12,16;8;8;13,83;Graduate
1;0;0;18;6;6;13,83;6;6;14,56;Graduate
1;0;0;19;7;4;12,45;7;5;11,7;Enrolled
1;0;1;20;6;6;12,13;6;6;13,57;Graduate
1;0;0;20;6;5;13,4;6;4;13;Enrolled
1;0;0;20;6;6;13,33;6;5;14;Enrolled
1;0;0;29;15;11;11,45;13;11;11,55;Dropout
0;0;1;20;6;4;12;6;3;10;Dropout
0;0;0;31;7;6;12,67;7;5;12,6;Dropout
1;0;0;20;6;6;12,67;6;6;13,78;Graduate
1;0;0;21;18;18;11,89;13;13;11,46;Graduate
1;0;0;23;6;0;0;6;0;0;Dropout
0;0;0;21;6;4;13;6;4;11,6;Dropout
1;0;0;24;7;7;16,89;8;8;15,74;Graduate
1;0;0;27;6;6;12,5;6;6;12,33;Graduate
1;0;1;18;7;7;13,06;8;8;15,81;Graduate
0;0;0;21;0;0;0;0;0;0;Dropout
1;0;1;19;5;0;0;5;0;0;Dropout
1;0;1;19;8;7;12,36;8;7;12,36;Graduate
1;0;0;18;6;0;0;6;0;0;Dropout
1;0;1;18;7;5;11,98;7;5;11,98;Enrolled
1;0;1;20;7;7;13,86;7;7;12,57;Graduate
1;0;0;24;6;5;13;6;6;14,17;Graduate
1;0;0;20;6;6;12,83;6;6;11,17;Graduate
1;0;0;20;5;4;11;5;5;13,2;Enrolled
1;0;1;19;8;7;12,36;8;7;12,36;Graduate
1;0;1;18;8;7;13,86;8;7;13,86;Graduate
1;0;1;20;6;6;12,33;6;6;10,67;Graduate
1;0;0;20;7;7;12,85;8;8;13,79;Graduate
1;0;1;19;7;6;12,34;8;8;13,02;Graduate
1;0;0;19;6;5;12,67;6;4;11,75;Enrolled
1;0;0;20;6;6;13,83;6;6;12,5;Graduate
1;0;0;19;5;2;10,75;5;2;10;Dropout
1;0;0;19;6;4;13,25;6;4;10,25;Dropout
1;0;1;18;8;8;13,73;8;8;13,73;Graduate
1;0;1;23;6;6;13,33;6;3;12,67;Dropout
1;0;0;21;6;5;12;6;5;10,8;Dropout
1;0;0;23;9;9;10,89;8;6;11,33;Graduate
1;0;0;19;7;7;13,03;8;8;13,81;Graduate
1;0;0;18;6;6;13;6;6;14,17;Graduate
1;0;0;19;6;5;11,8;6;5;12;Graduate
1;0;1;25;8;7;12,04;8;7;12,04;Graduate
1;0;0;19;6;5;12,2;6;4;13;Enrolled
1;0;1;19;7;7;12,84;8;8;15,5;Graduate
1;0;1;24;7;7;11;8;7;11,7;Graduate
1;0;1;18;6;6;13,5;6;5;14;Graduate
1;0;1;19;6;6;12,13;6;6;12,71;Graduate
1;0;1;18;8;7;12,63;8;7;12,63;Graduate
1;0;0;27;5;3;10,67;5;4;11,4;Enrolled
1;0;0;19;6;5;11,2;6;5;11,6;Graduate
1;0;1;18;6;6;12,67;6;6;11,83;Dropout
0;0;0;34;6;4;13,5;6;0;0;Dropout
1;0;0;18;5;3;11,67;5;2;11;Enrolled
1;0;0;18;5;2;10,5;5;3;12,33;Enrolled
1;0;0;18;8;8;14,27;8;8;14,27;Enrolled
0;0;0;20;6;0;0;6;0;0;Dropout
1;0;1;19;5;2;10,5;5;3;13,33;Enrolled
1;0;0;21;6;5;11,2;6;1;10;Enrolled
1;0;0;26;5;5;12;5;5;14,83;Graduate
1;0;0;27;7;7;12,23;8;8;13,21;Graduate
1;0;0;20;5;4;11,5;5;4;10,75;Graduate
1;0;0;18;6;6;15,38;6;6;16,43;Graduate
0;0;0;23;12;9;13,67;9;6;13,5;Enrolled
1;0;0;24;8;7;12,61;8;7;12,61;Graduate
1;0;1;19;6;5;12,2;6;6;11,5;Graduate
1;0;0;19;6;4;11,75;6;4;11;Graduate
1;0;1;19;6;5;11,4;6;3;10;Enrolled
1;0;0;18;6;5;10,6;6;2;10;Enrolled
1;0;0;22;16;13;10,92;13;11;11,45;Graduate
1;0;0;20;6;5;12,4;6;5;12,4;Graduate
1;0;0;25;6;0;0;6;0;0;Dropout
1;0;0;21;6;6;15,83;6;6;15,5;Graduate
1;0;0;19;7;5;11,8;7;6;11,71;Enrolled
1;0;0;18;6;6;12,57;6;6;13,67;Graduate
1;0;0;18;5;3;12;5;4;13,25;Graduate
1;1;0;19;7;7;13,36;8;8;14,44;Graduate
1;0;1;19;5;5;15,4;5;5;16;Graduate
0;0;0;18;6;5;12,2;6;4;11,75;Dropout
1;0;1;20;11;11;12,82;11;11;13,55;Graduate
1;0;0;19;7;0;0;8;0;0;Dropout
1;0;0;28;17;17;13,39;17;17;13,55;Graduate
1;0;1;20;6;6;14,25;6;6;11;Graduate
1;0;0;30;11;9;13,44;7;7;14,71;Dropout
1;0;1;19;7;7;12,29;8;8;11,74;Graduate
1;0;0;22;6;6;11,67;6;5;13,2;Graduate
1;0;0;18;6;6;12,17;6;6;13,5;Graduate
1;0;0;23;6;2;10;6;2;11;Dropout
1;0;0;18;6;6;14;6;6;15;Graduate
1;0;0;18;6;5;11,83;6;4;12;Enrolled
0;1;0;50;6;1;15;5;0;0;Dropout
1;0;1;19;0;0;0;0;0;0;Graduate
1;0;0;22;6;6;10,83;6;6;10,67;Graduate
1;0;1;23;6;6;13,14;6;6;14;Graduate
0;0;1;20;5;5;14,4;5;5;14;Dropout
0;0;0;44;6;0;0;6;0;0;Dropout
1;1;0;49;12;7;12;12;9;11,22;Graduate
1;1;0;46;10;9;12,2;10;10;12,8;Graduate
0;1;0;41;3;3;12,33;2;2;11;Dropout
1;1;0;18;7;7;11,84;8;8;12,48;Graduate
1;1;0;43;5;5;11,8;5;5;14;Graduate
0;1;0;70;5;0;0;5;0;0;Dropout
1;1;0;48;6;0;0;6;0;0;Dropout
1;1;0;41;19;19;12,68;13;13;12,38;Graduate
1;1;0;21;6;6;12,57;6;4;13;Enrolled
0;1;0;35;7;3;11,25;7;0;0;Dropout
1;1;0;44;5;4;14;5;4;15,5;Graduate
1;1;0;18;5;4;13,33;5;2;13,5;Dropout
1;1;0;45;6;6;13,67;6;6;13,67;Graduate
1;1;0;20;6;3;10;6;5;10,8;Enrolled
1;1;0;22;6;5;12,6;6;6;11,71;Graduate
1;1;0;39;5;3;17,33;5;1;17;Dropout
0;1;0;20;6;5;13,2;6;3;12;Enrolled
1;1;0;49;5;3;14;5;3;13,67;Dropout
1;1;0;43;4;4;13,88;1;1;12,5;Dropout
1;1;0;32;5;0;0;5;0;0;Dropout
1;1;0;47;9;9;13,11;7;7;14,86;Graduate
1;1;1;37;5;5;13;5;4;13,33;Dropout
1;1;0;41;10;10;12,5;7;7;12,14;Graduate
1;1;0;60;18;18;14,11;13;13;14,23;Graduate
1;1;0;47;11;11;14,73;9;9;15,78;Graduate
0;1;0;50;6;0;0;5;0;0;Dropout
1;1;0;45;5;0;0;5;0;0;Dropout
0;1;0;45;5;0;0;5;0;0;Dropout
1;1;0;33;5;4;13,5;5;5;11,6;Graduate
1;1;0;18;8;7;13,11;8;7;13,11;Graduate
1;1;0;43;5;5;13,5;5;5;14,4;Graduate
1;1;0;44;13;13;11,85;11;11;12;Graduate
1;1;0;29;5;0;0;5;0;0;Dropout
0;1;0;53;6;3;14,33;6;0;0;Dropout
1;1;0;37;5;5;15,8;5;5;17,6;Enrolled
1;1;0;18;6;5;13,8;6;5;12,4;Enrolled
1;1;0;35;10;6;12,67;9;3;12;Dropout
1;1;0;23;6;6;13;6;6;12;Enrolled
1;1;0;22;0;0;0;0;0;0;Graduate
0;1;0;33;6;1;11;6;0;0;Dropout
0;1;0;41;5;0;0;5;0;0;Dropout
1;1;0;51;7;7;15,2;8;8;16,58;Graduate
1;1;0;19;6;6;14,43;7;7;14,38;Graduate
1;1;0;35;5;0;0;5;0;0;Dropout
1;1;0;20;0;0;0;0;0;0;Graduate
1;1;0;18;6;4;13,75;6;5;11,2;Enrolled
0;1;1;18;6;5;12,17;6;3;12;Dropout
1;1;0;21;6;5;12,14;6;5;11,67;Graduate
1;1;0;21;6;6;12;6;5;11,6;Graduate
1;1;0;34;5;3;11,67;5;4;12,75;Graduate
1;1;0;34;6;0;0;6;0;0;Dropout
1;1;0;21;6;6;11,88;6;5;12;Graduate
1;1;0;32;11;7;11,29;7;6;12,33;Enrolled
1;1;0;30;6;2;10;6;3;11,33;Dropout
1;1;0;19;12;11;12;11;10;11,18;Enrolled
1;1;0;20;7;6;13,83;6;5;13;Dropout
1;1;0;18;6;0;0;6;0;0;Dropout
1;1;0;19;6;6;14,43;6;6;12,5;Graduate
1;1;0;18;7;5;14,2;7;6;12,4;Dropout
1;1;0;27;5;4;11,5;5;3;10,33;Dropout
1;1;0;52;6;5;13;6;6;15;Graduate
0;1;0;29;6;0;0;6;0;0;Dropout
0;1;0;22;6;3;11,33;6;2;11;Dropout
1;1;0;28;18;18;12,5;13;12;11,43;Graduate
1;1;0;30;5;0;0;5;0;0;Dropout
1;0;0;18;7;7;13,47;8;8;13,94;Graduate
1;0;0;21;5;4;11,75;5;3;13,33;Graduate
1;0;1;20;6;6;13,33;6;6;14,67;Graduate
1;0;1;21;8;8;13,11;8;8;13,11;Graduate
0;0;0;32;5;0;0;5;0;0;Dropout
1;1;1;20;6;6;15,5;6;6;12,17;Graduate
0;1;0;19;0;0;0;0;0;0;Dropout
0;1;0;18;6;4;11,25;6;3;12,33;Dropout
0;1;0;23;15;12;11;14;11;11,36;Dropout
1;1;0;20;6;6;12,33;6;4;13;Graduate
1;0;0;46;9;8;11,38;5;5;11,8;Graduate
1;1;0;27;18;18;12,22;12;12;12,38;Graduate
1;1;0;20;0;0;0;0;0;0;Enrolled
1;1;0;41;9;9;12;7;6;12;Graduate
1;1;0;40;5;1;11;5;1;10;Enrolled
1;1;0;37;16;16;14,13;11;10;13;Graduate
1;1;0;20;5;5;10,2;5;5;11,2;Enrolled
1;0;0;20;5;4;12;5;4;12,4;Enrolled
1;0;0;26;9;9;12,33;7;7;12,57;Graduate
1;1;0;54;9;9;14,33;7;7;13,86;Graduate
1;1;0;21;6;6;15,17;6;6;14;Graduate
1;0;1;20;6;6;15,14;6;6;15,14;Graduate
1;0;0;18;6;0;0;6;0;0;Dropout
1;0;0;19;7;6;13,41;8;7;13,29;Enrolled
1;0;0;18;6;6;12,33;6;6;12,17;Graduate
1;0;0;19;6;4;11,8;6;4;12,2;Enrolled
1;0;0;22;6;6;12;6;3;12;Dropout
1;0;0;19;6;6;15;6;6;15,63;Graduate
1;0;0;21;12;8;13,88;11;9;12,7;Dropout
1;0;0;20;7;6;11,83;7;6;14,33;Enrolled
1;0;1;18;6;6;12,5;6;6;13,83;Graduate
1;0;1;18;6;6;15;6;6;15,5;Graduate
1;0;0;20;6;2;11,67;6;4;10,5;Dropout
1;0;1;18;7;7;14,67;8;8;14,63;Graduate
1;0;0;18;8;6;13,35;8;6;13,35;Enrolled
1;0;1;20;6;5;12,8;6;6;12,33;Graduate
1;0;0;19;6;6;10,83;6;6;12,14;Graduate
1;0;0;18;6;6;13,67;6;5;14;Graduate
1;0;0;18;8;7;14,54;8;7;14,54;Graduate
1;0;1;18;5;5;14,4;5;5;14;Dropout
1;0;1;20;0;0;0;0;0;0;Graduate
1;0;1;19;6;6;13,17;6;6;13,83;Graduate
0;1;0;36;6;2;11,5;7;0;0;Dropout
1;0;1;19;6;6;11,33;6;6;12,43;Graduate
1;0;0;18;6;6;12;6;5;13,6;Graduate
1;0;1;18;6;6;13,17;6;6;12,17;Graduate
1;0;1;18;6;6;14,83;6;6;14,17;Graduate
1;0;0;19;7;7;13;9;9;13,22;Graduate
1;0;0;18;7;7;13,09;8;8;12,95;Graduate
1;0;1;19;6;6;13,33;6;6;13,67;Graduate
1;0;0;18;6;6;12,17;6;4;12,75;Enrolled
0;0;1;22;6;6;11;6;4;12;Enrolled
0;0;0;18;6;0;0;6;0;0;Dropout
1;0;0;19;5;5;13,6;5;5;12,2;Graduate
1;0;0;18;6;6;15,5;6;6;14;Graduate
1;0;0;19;7;7;13,86;7;7;14,29;Graduate
1;0;0;20;5;2;11,5;5;3;10;Enrolled
1;0;1;18;6;6;13;6;6;12,17;Graduate
0;0;0;23;6;6;14;6;4;13;Enrolled
1;0;0;20;4;0;0;6;0;0;Dropout
1;0;0;20;6;6;11,17;6;6;11,5;Enrolled
0;0;1;22;6;0;0;6;0;0;Dropout
1;0;1;18;7;7;12,14;7;6;13,67;Graduate
1;0;1;18;7;7;14,15;8;8;13,63;Graduate
1;0;0;18;7;7;14,45;8;8;14,14;Graduate
1;0;0;18;7;7;15,71;7;7;15;Graduate
1;0;0;21;5;5;12,8;5;3;12,67;Enrolled
1;0;0;20;6;6;12,5;6;6;11,5;Enrolled
1;0;0;18;6;6;14,5;6;6;12,83;Graduate
0;0;1;20;7;7;13,46;8;7;13,16;Enrolled
1;0;0;25;6;6;12,83;6;6;12,83;Graduate
1;0;1;18;5;5;12;5;4;11,6;Graduate
1;0;0;19;0;0;0;0;0;0;Graduate
1;0;0;20;7;6;14,71;7;6;13,2;Enrolled
1;0;1;20;6;6;12,57;6;6;13,29;Graduate
1;0;1;21;6;6;12,5;6;6;11,5;Graduate
1;0;0;18;6;6;14;6;5;14;Graduate
1;0;0;18;7;7;11,57;7;6;13,17;Dropout
1;0;1;18;6;6;15,83;6;6;15,33;Graduate
1;0;0;18;8;8;14,25;8;8;14,25;Graduate
1;0;0;19;6;0;0;6;0;0;Dropout
1;0;0;20;6;6;11,67;6;6;11;Dropout
1;0;0;47;6;0;0;5;0;0;Dropout
1;0;0;21;5;5;13,2;5;2;12,5;Enrolled
1;1;0;31;6;2;12;6;1;10;Dropout
1;1;0;46;5;0;0;5;0;0;Dropout
1;1;0;18;5;4;12;5;2;11;Enrolled
1;1;0;19;5;3;13,33;5;4;10,75;Dropout
1;1;0;23;7;5;12,41;7;2;13,5;Enrolled
0;1;0;22;5;0;0;5;0;0;Dropout
1;1;0;19;5;5;13,8;5;5;12,4;Graduate
0;0;0;19;5;0;0;5;0;0;Dropout
0;1;0;22;5;4;11,5;5;4;14;Enrolled
0;1;0;29;5;0;0;5;0;0;Dropout
1;0;0;18;7;6;14,02;7;6;14,02;Graduate
1;0;0;18;6;5;11,4;6;5;10,8;Graduate
0;0;1;23;0;0;0;0;0;0;Dropout
1;0;0;34;5;5;10,4;5;5;12;Graduate
1;0;0;19;5;3;10,67;5;4;10,25;Graduate
1;0;0;18;5;4;14,25;5;5;12,71;Enrolled
1;0;1;20;7;7;13,91;8;8;14,11;Graduate
1;0;0;19;7;7;13,76;8;7;12,82;Graduate
1;0;0;22;6;5;12,6;6;4;11,25;Enrolled
1;0;1;23;6;6;13,86;6;6;14,17;Graduate
1;1;1;34;8;7;13,84;8;7;13,84;Graduate
0;1;0;18;5;0;0;5;0;0;Enrolled
1;1;0;21;6;5;11,8;6;0;0;Dropout
1;1;0;22;6;6;12,67;6;6;13,83;Dropout
1;1;0;28;6;0;0;6;0;0;Dropout
1;1;0;23;5;0;0;5;0;0;Dropout
1;1;0;20;6;4;10,75;6;2;10;Dropout
1;1;0;18;5;5;12,6;5;3;13,25;Dropout
0;1;0;28;5;0;0;5;0;0;Dropout
1;1;0;21;7;2;12;9;7;12,14;Dropout
0;1;0;25;6;3;14;6;2;14,5;Dropout
0;1;0;19;6;6;14;6;6;13,5;Dropout
1;1;1;18;7;7;14,68;8;8;15,06;Graduate
1;1;0;29;3;0;0;5;0;0;Dropout
1;1;1;29;5;0;0;5;0;0;Dropout
1;1;0;20;6;6;13,86;6;5;12,8;Graduate
1;1;0;18;0;0;0;0;0;0;Graduate
1;1;0;20;6;6;13,14;6;6;12,5;Graduate
1;1;0;33;5;1;18;5;2;13;Dropout
1;1;0;30;15;13;11,46;11;10;11,58;Graduate
1;1;1;21;7;5;11,2;8;6;11,58;Enrolled
1;1;0;18;6;5;15;6;4;14,5;Graduate
1;1;1;19;7;7;14,24;8;8;12,23;Graduate
1;1;1;21;6;4;11,5;6;5;11;Dropout
1;1;1;25;7;2;10;7;0;0;Dropout
1;1;0;19;5;3;12,33;5;5;11,6;Graduate
1;1;0;23;7;5;12,2;9;7;12,14;Dropout
1;1;1;19;6;6;13,67;6;5;13,2;Graduate
1;1;0;19;0;0;0;0;0;0;Graduate
0;1;0;31;6;1;11;6;0;0;Dropout
0;1;0;32;6;3;13;10;6;11,43;Dropout
1;0;1;19;8;7;12,6;8;7;12,6;Graduate
1;0;0;34;10;10;12,2;10;9;12,33;Graduate
1;0;0;21;6;6;13,17;6;6;13;Graduate
1;0;1;53;7;6;11;7;7;11;Graduate
1;0;1;19;7;7;14,01;8;8;15,35;Graduate
1;0;1;20;6;4;13;6;4;11,25;Graduate
1;0;0;18;6;6;14;6;6;14,67;Graduate
0;0;0;32;0;0;0;0;0;0;Dropout
1;0;1;21;8;7;14,43;8;7;14,43;Graduate
0;0;0;26;5;0;0;5;0;0;Dropout
1;0;0;26;18;18;11,83;13;13;12,46;Graduate
0;0;0;21;5;3;11,33;5;1;13;Dropout
1;0;0;18;6;6;12,5;6;6;13;Graduate
1;0;1;21;12;12;13,33;12;11;12,55;Graduate
1;0;0;21;6;6;10,83;6;4;11;Enrolled
1;0;1;19;6;6;13;6;6;14;Graduate
1;0;0;19;5;2;10;5;2;14;Dropout
1;0;1;19;6;6;11,43;6;5;11,2;Graduate
1;0;0;27;8;8;12,89;8;8;12,89;Graduate
1;0;1;18;7;6;12,95;7;6;12,95;Graduate
1;0;0;20;5;1;10;5;0;0;Dropout
1;0;1;19;7;7;13,09;8;8;12,55;Graduate
1;0;0;20;6;0;0;6;0;0;Dropout
1;0;1;19;6;5;11,71;6;6;11;Graduate
1;0;0;20;6;4;11,25;6;3;10;Enrolled
1;0;0;20;0;0;0;0;0;0;Dropout
1;0;0;18;6;6;13,17;6;6;13,33;Graduate
1;0;0;20;5;4;12,75;5;5;13,4;Graduate
0;0;0;38;5;5;10,6;5;2;11;Dropout
1;0;0;42;6;5;11,2;6;6;12;Graduate
1;0;0;32;7;0;0;8;0;0;Dropout
1;0;0;22;6;6;13;6;6;13,67;Graduate
1;0;0;28;5;0;0;5;0;0;Dropout
1;0;0;37;6;0;0;6;0;0;Dropout
1;0;0;43;6;6;14,17;6;6;15;Graduate
1;0;1;41;6;5;12,83;6;6;12,33;Graduate
1;0;1;29;6;4;11,75;6;5;10,4;Graduate
1;0;1;35;6;6;10,83;6;6;11,5;Graduate
1;0;0;18;6;4;11,75;6;4;12,25;Dropout
0;0;1;39;7;3;11,5;7;2;10,5;Dropout
1;0;0;37;5;2;10;5;3;11,33;Enrolled
1;0;1;26;7;6;13,7;7;6;13,7;Graduate
1;0;0;32;5;1;14;5;0;0;Dropout
1;0;0;37;8;7;11,38;7;6;12,17;Enrolled
1;0;0;28;6;0;0;6;0;0;Enrolled
1;0;0;19;6;0;0;6;0;0;Dropout
1;0;0;18;5;1;11;5;2;12,5;Enrolled
1;0;1;19;7;6;13;7;7;13,29;Graduate
1;0;0;32;11;8;13,6;8;8;15,11;Graduate
1;0;0;31;5;3;11;5;2;11,5;Dropout
1;0;0;34;8;7;11,71;8;7;11,71;Enrolled
1;0;0;20;12;12;13,25;11;11;14,33;Graduate
1;0;0;28;7;1;10,75;7;1;10;Dropout
1;0;0;31;6;6;12;7;7;13,43;Enrolled
1;0;0;18;6;6;12,67;6;4;12,25;Enrolled
0;0;0;31;6;5;11,4;6;3;11;Dropout
1;0;0;19;6;6;13;6;5;12,4;Graduate
1;0;1;19;6;6;14;6;6;12,29;Graduate
1;0;0;31;6;0;0;5;0;0;Enrolled
1;0;0;34;6;0;0;6;0;0;Dropout
1;0;1;18;7;7;15,29;8;8;16,08;Graduate
1;0;0;18;6;6;13,17;6;6;12,67;Graduate
1;1;0;19;5;5;13,6;5;5;12,83;Graduate
0;1;1;22;4;0;0;4;0;0;Dropout
1;1;0;32;10;10;11,4;9;4;11,5;Graduate
1;1;0;61;5;0;0;5;0;0;Dropout
1;1;0;30;5;5;11;5;5;11,6;Graduate
0;1;0;45;5;0;0;5;0;0;Dropout
1;1;0;20;6;6;13,57;6;6;12,67;Graduate
1;0;0;19;7;0;0;8;0;0;Dropout
1;1;0;26;10;4;11,25;11;4;12;Dropout
1;1;0;19;5;3;13,33;5;1;11;Dropout
1;1;1;19;6;6;12;6;6;11,67;Graduate
1;1;0;19;6;6;12,5;6;5;13;Graduate
1;1;1;19;5;5;13,2;5;5;12,67;Graduate
0;1;0;19;5;0;0;4;0;0;Dropout
0;1;0;28;5;3;11,67;5;2;11,5;Dropout
1;1;0;24;15;15;13,47;14;14;13,64;Graduate
1;1;0;18;5;3;13,67;5;5;13,2;Graduate
1;1;0;18;5;2;11,67;5;2;12,5;Enrolled
1;1;1;18;6;6;11,67;6;5;10,2;Graduate
1;1;0;21;6;5;13,4;6;5;12,4;Graduate
0;1;0;28;5;0;0;5;0;0;Dropout
1;1;0;58;6;0;0;6;0;0;Dropout
0;1;0;49;5;0;0;5;0;0;Dropout
1;1;0;24;5;3;10,67;5;2;10,5;Enrolled
1;1;0;25;5;4;13,75;5;4;14,75;Graduate
1;1;0;33;5;1;10;5;0;0;Dropout
0;1;0;33;5;0;0;5;0;0;Dropout
1;1;0;40;2;1;16;4;4;15,5;Graduate
1;1;0;48;5;5;12,29;5;5;11,13;Graduate
0;1;0;18;5;3;12;5;3;10,33;Enrolled
1;1;0;24;7;6;12,67;7;6;12,67;Graduate
1;1;1;23;5;5;11,8;5;4;13,25;Graduate
0;1;0;39;5;5;10,6;5;5;14,67;Dropout
1;1;0;21;11;9;11,9;9;8;12,25;Graduate
1;1;0;34;6;4;11,25;5;2;10,5;Dropout
1;1;1;41;5;4;11;5;5;11,4;Enrolled
1;1;0;18;6;6;12;6;6;12,5;Graduate
1;1;0;34;5;4;11,75;5;4;10,83;Enrolled
1;1;0;19;5;2;10;5;1;16;Dropout
1;1;0;19;8;7;13,71;8;7;13,71;Graduate
1;1;0;28;6;6;14,88;6;6;15,8;Graduate
1;1;0;18;6;5;10,8;6;0;0;Dropout
1;1;0;19;6;3;12;6;2;10;Dropout
0;1;0;19;6;5;12,5;6;2;13,5;Dropout
1;0;0;18;7;7;14,73;8;8;16,33;Graduate
